# SCM estimates of mRNA and protein levels, log-transformed and unscaled, for haploid budding yeast (S.cerevisiae) growing exponentially in rich medium with glucose 
#
# Generated Tue Apr 07 00:00:36 2015 
#
# Citation:
#   "Accounting for experimental noise reveals that transcript levels,
#   amplified by post-transcriptional regulation, largely determine steady-state protein levels in yeast,"
#   Gábor Csárdi, Alexander Franks, David S. Choi, Eduardo M. Airoldi, and D. Allan Drummond, PLoS Genetics, 2015
#
# orf = Systematic yeast ORF (open reading frame) identifier
# gene = Common gene name
# mrna = Messenger RNA level
# prot = Protein level
# sd.mrna = Standard deviation on estimates of log-transformed mRNA levels (mRNA lower bound = exp(log(mrna)-sd.mrna)), mRNA upper bound = exp(log(mrna)+sd.mrna)))
# sd.prot = Standard deviation on estimates of log-transformed protein levels (protein lower bound = exp(log(prot)-sd.prot)), protein upper bound = exp(log(prot)+sd.prot)))
# n.mrna = Number of mRNA-level measurements
# n.prot = Number of protein-level measurements
orf	gene	mrna	prot	sd.mrna	sd.prot	n.mrna	n.prot
YIL033C	BCY1	0.521539	0.543887	0.290	0.289	12	6
YIL034C	CAP2	0.945507	0.848155	0.246	0.328	13	7
YIL035C	CKA1	0.737537	0.646804	0.216	0.273	12	5
YIL036W	CST6	0.148611	0.095438	0.282	0.261	11	3
YIL037C	PRM2	-1.422967	-1.522373	0.332	0.399	7	0
YIL038C	NOT3	0.287368	0.270656	0.282	0.326	12	4
YIL039W	TED1	0.601435	0.313536	0.250	0.287	13	5
YIL040W	APQ12	0.251566	-0.194593	0.260	0.357	12	1
YIL041W	GVP36	1.195041	0.990506	0.281	0.284	13	7
YIL042C	PKP1	-0.285691	-0.047091	0.298	0.289	12	3
YIL043C	CBR1	1.476535	1.085398	0.251	0.282	13	7
YIL044C	AGE2	0.358201	0.397437	0.243	0.301	11	5
YIL045W	PIG2	-0.367561	-0.327798	0.272	0.288	13	3
YIL046W	MET30	-0.284745	-0.567650	0.269	0.314	12	2
YIL046W-A		-2.671328	-2.519127	0.380	0.464	3	0
YIL047C	SYG1	0.418141	0.117516	0.278	0.333	12	4
YIL048W	NEO1	-0.207184	-0.342826	0.278	0.354	12	2
YIL049W	DFG10	-0.211084	-0.486365	0.290	0.311	12	1
YIL050W	PCL7	-0.113755	0.058292	0.283	0.279	12	3
YIL051C	MMF1	2.030139	1.890064	0.263	0.323	12	7
YIL052C	RPL34B	1.913781	1.460776	0.257	0.288	11	5
YIL053W	GPP1	2.498510	2.386672	0.264	0.288	13	8
YIL055C		-0.918946	-1.143111	0.310	0.410	11	0
YIL056W	VHR1	-0.119680	-0.276757	0.258	0.316	12	3
YIL057C	RGI2	-1.350797	-0.474105	0.295	0.312	9	2
YIL060W		-1.194523	-1.260441	0.303	0.436	8	0
YIL061C	SNP1	-0.599193	-0.448181	0.275	0.343	11	2
YIL062C	ARC15	0.972180	0.694923	0.254	0.286	12	6
YIL063C	YRB2	0.218952	0.346698	0.230	0.293	10	6
YIL064W	EFM4	0.195681	0.154949	0.245	0.277	12	4
YIL065C	FIS1	0.316569	0.247000	0.232	0.296	13	3
YIL066C	RNR3	-0.494772	-0.317907	0.277	0.285	12	4
YIL067C		-0.415947	-0.570448	0.276	0.376	11	1
YIL068C	SEC6	-0.076078	-0.091995	0.265	0.297	11	4
YIL069C	RPS24B	1.543939	1.011428	0.260	0.345	11	3
YIL070C	MAM33	0.448222	0.475656	0.234	0.263	11	7
YIL071C	PCI8	-0.797553	-0.726608	0.279	0.354	10	1
YIL072W	HOP1	-1.603528	-1.598407	0.293	0.383	10	0
YIL073C	SPO22	-1.301834	-1.341194	0.284	0.406	9	0
YIL074C	SER33	0.554599	0.447965	0.266	0.290	12	5
YIL075C	RPN2	1.113096	0.833273	0.239	0.283	13	7
YIL076W	SEC28	1.048039	1.097396	0.284	0.301	13	7
YIL077C		-0.175929	-0.164815	0.264	0.291	13	3
YIL078W	THS1	1.709767	1.528318	0.256	0.251	11	7
YIL079C	AIR1	-0.028932	-0.021023	0.245	0.234	11	3
YIL082W-A		-1.454617	-1.517526	0.326	0.401	4	0
YIL083C	CAB2	0.409934	0.425564	0.279	0.293	13	6
YIL084C	SDS3	-0.714441	-0.841078	0.296	0.310	10	3
YIL085C	KTR7	0.231183	0.190425	0.304	0.293	10	4
YIL087C	AIM19	-0.370173	-0.407271	0.297	0.360	12	2
YIL088C	AVT7	0.139250	-0.249502	0.263	0.295	11	3
YIL089W		-1.072463	-1.163897	0.302	0.400	9	0
YIL090W	ICE2	0.220609	-0.104449	0.223	0.274	13	4
YIL091C	UTP25	0.024389	-0.223002	0.278	0.359	11	5
YIL092W		-0.851285	-0.978840	0.242	0.364	11	1
YIL093C	RSM25	-0.082665	0.031137	0.248	0.311	11	4
YIL094C	LYS12	1.152408	1.060216	0.243	0.299	12	7
YIL095W	PRK1	-0.401160	-0.229262	0.245	0.250	11	4
YIL096C	BMT5	0.017233	-0.005348	0.253	0.302	12	3
YIL097W	FYV10	-0.845358	-0.620324	0.267	0.342	10	3
YIL098C	FMC1	-0.155092	-0.214844	0.260	0.293	11	3
YIL099W	SGA1	-1.415177	-1.520277	0.287	0.398	10	0
YIL101C	XBP1	-0.656841	-0.817368	0.288	0.329	12	1
YIL102C		-2.087228	-2.082971	0.281	0.374	5	0
YIL102C-A		-1.679662	-1.663597	0.319	0.486	4	0
YIL103W	DPH1	0.115434	0.178590	0.252	0.288	12	3
YIL104C	SHQ1	-0.093176	0.255788	0.246	0.293	11	4
YIL105C	SLM1	0.079639	0.251152	0.271	0.263	11	5
YIL106W	MOB1	0.029702	0.204394	0.262	0.238	11	4
YIL107C	PFK26	-0.019119	0.029406	0.248	0.270	12	3
YIL108W		-0.026581	-0.236803	0.246	0.327	13	4
YIL109C	SEC24	0.883869	0.502161	0.273	0.341	12	6
YIL110W	HPM1	-0.010158	-0.197507	0.258	0.368	11	2
YIL111W	COX5B	0.523820	0.397190	0.268	0.283	12	4
YIL112W	HOS4	-0.027902	-0.255386	0.264	0.400	12	2
YIL113W	SDP1	-1.223328	-1.333242	0.318	0.420	8	0
YIL114C	POR2	-0.163706	-0.361229	0.268	0.428	11	1
YIL115C	NUP159	0.397801	0.237388	0.295	0.283	11	6
YIL116W	HIS5	0.548196	0.356934	0.251	0.291	13	6
YIL117C	PRM5	0.111095	-0.191810	0.273	0.368	12	3
YIL118W	RHO3	0.900918	0.748371	0.270	0.262	13	6
YIL119C	RPI1	0.076205	0.064194	0.251	0.263	12	4
YIL120W	QDR1	-1.142621	-1.244678	0.314	0.402	10	0
YIL121W	QDR2	0.071698	-0.303310	0.267	0.381	12	1
YIL122W	POG1	-0.600390	-0.579007	0.267	0.324	10	1
YIL123W	SIM1	1.328216	0.634951	0.257	0.277	13	4
YIL124W	AYR1	0.632223	0.491432	0.241	0.290	12	6
YIL125W	KGD1	0.522420	0.707481	0.274	0.258	12	7
YIL126W	STH1	0.241396	0.303277	0.298	0.278	11	7
YIL127C	RRT14	0.415566	0.371967	0.250	0.307	12	4
YIL128W	MET18	0.012065	0.136053	0.257	0.286	12	3
YIL129C	TAO3	-0.225122	-0.424661	0.263	0.328	10	5
YIL130W	ASG1	-0.072515	-0.166329	0.278	0.321	11	5
YIL131C	FKH1	0.195429	0.076378	0.260	0.330	12	3
YIL132C	CSM2	-0.881545	-0.745405	0.273	0.321	10	1
YIL133C	RPL16A	1.895777	1.637895	0.246	0.291	11	7
YIL134C-A		-2.457534	-2.373430	0.395	0.471	3	0
YIL134W	FLX1	-0.496322	-0.790174	0.282	0.401	12	0
YIL135C	VHS2	0.238654	0.101906	0.254	0.258	13	3
YIL136W	OM45	0.069022	0.554150	0.247	0.275	13	7
YIL137C	TMA108	0.280646	0.365797	0.259	0.322	12	6
YIL138C	TPM2	0.543063	0.721545	0.245	0.289	11	6
YIL139C	REV7	-1.001900	-1.165311	0.261	0.434	9	0
YIL140W	AXL2	-0.132165	-0.286068	0.275	0.346	12	3
YIL142W	CCT2	0.957461	0.621764	0.286	0.322	12	6
YIL143C	SSL2	0.030884	-0.061163	0.303	0.276	11	4
YIL144W	NDC80	-0.286207	-0.182358	0.258	0.304	12	3
YIL145C	PAN6	0.321271	0.285179	0.277	0.322	12	5
YIL146C	ATG32	-0.730335	-0.752220	0.327	0.390	11	1
YIL147C	SLN1	-0.063031	-0.129687	0.244	0.302	11	3
YIL148W	RPL40A	2.143085	1.283406	0.258	0.330	12	3
YIL149C	MLP2	0.225914	0.257271	0.250	0.301	12	3
YIL150C	MCM10	-0.629898	-0.256530	0.263	0.290	10	3
YIL151C	ESL1	-0.309223	-0.340362	0.274	0.297	10	2
YIL152W		-0.371821	-0.710513	0.284	0.386	11	0
YIL153W	RRD1	-0.011710	0.120830	0.251	0.266	12	3
YIL154C	IMP2'	0.429515	0.332166	0.253	0.319	13	3
YIL155C	GUT2	-0.038268	0.036945	0.286	0.292	11	5
YIL156W	UBP7	-0.167368	-0.275187	0.259	0.291	11	3
YIL156W-B		-1.214692	-0.996495	0.318	0.439	4	2
YIL157C	COA1	0.472415	0.218178	0.256	0.314	13	2
YIL158W	AIM20	0.407377	0.149377	0.248	0.262	12	2
YIL159W	BNR1	-0.678888	-0.658111	0.250	0.340	11	4
YIL160C	POT1	-1.474802	-1.518055	0.320	0.455	10	1
YIL161W		-0.166904	0.053224	0.245	0.237	9	5
YIL162W	SUC2	0.053540	0.101581	0.280	0.321	11	4
YIL164C	NIT1	-0.749088	-0.946160	0.294	0.388	10	0
YIL165C		-0.546168	-0.732487	0.315	0.380	10	1
YIL166C		-0.853456	-1.007925	0.282	0.413	10	0
YIL169C		-0.218959	-0.470244	0.305	0.358	10	1
YIL172C	IMA3	-1.316205	-1.201766	0.292	0.331	7	1
YIL173W	VTH1	-0.855706	-0.759124	0.291	0.314	9	2
YIL176C	PAU14	-1.301764	-1.374468	0.290	0.395	8	0
YIL177C		-0.712808	-1.002184	0.335	0.427	6	0
YIR001C	SGN1	0.066933	0.343473	0.245	0.283	11	6
YIR002C	MPH1	-0.413028	-0.587973	0.251	0.322	11	2
YIR003W	AIM21	0.103429	0.235489	0.242	0.224	12	5
YIR004W	DJP1	0.557069	0.808157	0.244	0.225	12	7
YIR005W	IST3	-0.522519	-0.405823	0.283	0.275	9	3
YIR006C	PAN1	0.722298	0.967752	0.268	0.281	12	6
YIR007W		-0.362833	-0.340165	0.269	0.338	10	2
YIR008C	PRI1	-0.186244	-0.255735	0.300	0.328	10	4
YIR009W	MSL1	-0.360013	-0.367794	0.275	0.298	11	3
YIR010W	DSN1	-0.115743	-0.064526	0.279	0.224	11	4
YIR011C	STS1	0.440310	0.048377	0.252	0.307	13	1
YIR012W	SQT1	0.795772	1.136133	0.261	0.259	12	7
YIR013C	GAT4	-1.410817	-1.470032	0.307	0.424	8	0
YIR014W		-1.053990	-1.268772	0.320	0.456	9	0
YIR015W	RPR2	-0.241130	-0.056104	0.264	0.293	10	2
YIR016W		-0.222670	-0.666357	0.293	0.388	11	0
YIR017C	MET28	-0.725677	-0.810674	0.258	0.398	10	2
YIR018C-A		-1.913904	-1.870437	0.352	0.416	4	0
YIR018W	YAP5	-0.621055	-0.705490	0.245	0.331	12	2
YIR019C	FLO11	-0.929902	-1.041906	0.297	0.432	9	0
YIR021W	MRS1	-0.070167	0.083316	0.233	0.289	12	3
YIR021W-A		-2.172101	-2.121250	0.367	0.492	3	0
YIR022W	SEC11	0.727398	0.480608	0.287	0.288	13	4
YIR023W	DAL81	-0.077500	-0.131170	0.290	0.284	10	6
YIR024C	INA22	-0.412667	-0.337637	0.250	0.306	11	3
YIR025W	MND2	-0.965006	-1.130961	0.270	0.416	11	0
YIR026C	YVH1	0.542976	0.756492	0.291	0.250	13	7
YIR027C	DAL1	-1.645483	-1.420542	0.351	0.425	6	2
YIR028W	DAL4	-1.232448	-1.388773	0.299	0.426	11	0
YIR029W	DAL2	-0.674312	-0.678962	0.257	0.368	11	1
YIR030C	DCG1	-1.223679	-1.209145	0.283	0.393	11	1
YIR031C	DAL7	-0.854797	-0.755521	0.298	0.406	10	3
YIR032C	DAL3	-1.033958	-1.067932	0.306	0.361	9	1
YIR033W	MGA2	-0.106610	-0.265718	0.270	0.320	12	4
YIR034C	LYS1	1.023965	1.635823	0.261	0.251	13	8
YIR035C		0.335333	0.292109	0.255	0.269	13	3
YIR036C	IRC24	-0.059683	0.106065	0.258	0.274	11	7
YIR037W	HYR1	1.121767	0.967597	0.242	0.221	12	8
YIR038C	GTT1	0.260893	0.101541	0.280	0.322	12	4
YIR039C	YPS6	-1.020986	-1.160017	0.303	0.390	9	0
YIR041W	PAU15	-1.659834	-1.720487	0.308	0.468	7	0
YIR042C		-1.431409	-1.586462	0.303	0.442	10	0
YJL001W	PRE3	1.458685	1.407274	0.254	0.237	13	7
YJL002C	OST1	1.354423	1.333087	0.233	0.223	13	7
YJL003W	COX16	-0.379554	-0.319613	0.283	0.250	9	3
YJL004C	SYS1	0.536181	0.091689	0.252	0.266	13	3
YJL005W	CYR1	-0.074475	0.058314	0.218	0.262	12	6
YJL006C	CTK2	-0.047228	0.143416	0.270	0.231	12	4
YJL008C	CCT8	1.011854	0.858914	0.286	0.326	12	7
YJL010C	NOP9	0.240971	0.586713	0.216	0.209	11	7
YJL011C	RPC17	0.417358	0.461969	0.212	0.254	12	4
YJL012C	VTC4	1.129515	0.737634	0.263	0.324	13	6
YJL013C	MAD3	-0.393290	-0.132152	0.256	0.337	11	3
YJL014W	CCT3	0.907250	0.662787	0.280	0.342	12	7
YJL016W		0.006315	0.080429	0.261	0.281	11	3
YJL019W	MPS3	-0.519415	-0.498921	0.279	0.369	11	3
YJL020C	BBC1	0.277866	0.230900	0.283	0.355	12	6
YJL023C	PET130	-0.774630	-0.638601	0.292	0.313	11	1
YJL024C	APS3	0.058474	0.419684	0.272	0.190	10	5
YJL025W	RRN7	-0.489524	-0.500968	0.253	0.291	10	2
YJL026W	RNR2	1.641812	1.764152	0.248	0.209	13	9
YJL027C		-1.429474	-1.550902	0.295	0.432	10	0
YJL028W		-1.920116	-1.898380	0.320	0.455	6	0
YJL029C	VPS53	0.150373	0.119811	0.241	0.227	12	4
YJL030W	MAD2	0.009441	-0.086911	0.274	0.277	11	3
YJL031C	BET4	-0.062308	-0.161869	0.270	0.311	11	3
YJL033W	HCA4	0.461015	0.757915	0.277	0.235	12	6
YJL034W	KAR2	1.832217	1.653151	0.232	0.248	13	10
YJL035C	TAD2	-0.273005	-0.333238	0.257	0.286	12	2
YJL036W	SNX4	0.259973	0.087303	0.264	0.259	12	5
YJL037W	IRC18	-1.713141	-1.727993	0.300	0.419	8	0
YJL038C	LOH1	-1.641239	-1.738092	0.277	0.413	7	0
YJL039C	NUP192	0.278920	0.498926	0.231	0.254	12	7
YJL041W	NSP1	0.689603	0.913321	0.233	0.218	11	8
YJL042W	MHP1	0.351892	0.266719	0.262	0.251	12	7
YJL043W		-1.896311	-1.937985	0.332	0.434	7	0
YJL044C	GYP6	0.326526	0.350388	0.266	0.199	12	5
YJL045W		-1.113234	-1.024594	0.250	0.350	10	2
YJL046W	AIM22	-0.459361	-0.540286	0.287	0.337	11	2
YJL047C	RTT101	-0.946190	-0.893652	0.288	0.361	10	4
YJL047C-A		-1.666488	-1.638702	0.364	0.448	4	0
YJL048C	UBX6	-0.008729	-0.071858	0.254	0.267	13	3
YJL049W		-0.288792	-0.108914	0.255	0.299	11	3
YJL050W	MTR4	0.462023	0.866983	0.236	0.239	11	8
YJL051W	IRC8	-0.625340	-0.867244	0.280	0.383	10	0
YJL052C-A		-2.708806	-2.498889	0.372	0.501	2	0
YJL052W	TDH1	2.281089	2.119393	0.235	0.234	13	9
YJL053W	PEP8	0.452475	0.348334	0.232	0.283	13	5
YJL054W	TIM54	0.480547	0.371472	0.248	0.254	12	4
YJL055W		0.819424	0.836690	0.248	0.210	12	7
YJL056C	ZAP1	-0.560403	-0.728369	0.255	0.342	11	2
YJL057C	IKS1	-0.255010	-0.314510	0.272	0.310	12	2
YJL058C	BIT61	-0.685797	-0.447565	0.250	0.317	10	1
YJL059W	YHC3	-0.404112	-0.673736	0.253	0.361	9	0
YJL060W	BNA3	0.194227	0.271386	0.263	0.318	12	6
YJL061W	NUP82	0.542346	0.783618	0.253	0.238	13	7
YJL062W	LAS21	0.086139	0.095895	0.261	0.216	11	4
YJL062W-A	COA3	-0.073545	0.091150	0.276	0.232	6	3
YJL063C	MRPL8	0.376458	0.536288	0.250	0.236	12	6
YJL065C	DLS1	0.352762	0.269495	0.239	0.227	13	3
YJL066C	MPM1	0.066756	0.236662	0.236	0.257	12	6
YJL068C		0.270705	0.276541	0.281	0.280	12	6
YJL069C	UTP18	0.415221	0.760590	0.251	0.269	11	7
YJL070C		-0.651250	-0.359796	0.275	0.302	8	5
YJL071W	ARG2	-0.522639	-0.629990	0.260	0.327	12	3
YJL072C	PSF2	-0.096236	-0.273934	0.273	0.372	12	2
YJL073W	JEM1	-0.057863	0.047612	0.270	0.310	11	4
YJL074C	SMC3	-0.021412	0.318215	0.251	0.244	12	6
YJL076W	NET1	0.245708	0.546977	0.223	0.227	9	7
YJL077C	ICS3	-0.800695	-1.000947	0.329	0.433	9	0
YJL077W-B		-1.613798	-1.620261	0.350	0.422	4	0
YJL078C	PRY3	0.643449	0.576634	0.243	0.278	13	1
YJL079C	PRY1	0.661600	0.351361	0.260	0.220	13	2
YJL080C	SCP160	1.395332	1.629285	0.281	0.279	12	8
YJL081C	ARP4	0.096266	0.077837	0.283	0.305	11	5
YJL082W	IML2	0.086434	0.403974	0.249	0.256	13	6
YJL083W	TAX4	-0.713316	-0.696566	0.285	0.287	12	1
YJL084C	ALY2	-0.446523	-0.363219	0.275	0.261	10	5
YJL085W	EXO70	-0.399855	0.189125	0.272	0.219	11	5
YJL087C	TRL1	-0.171277	0.376261	0.292	0.228	10	6
YJL088W	ARG3	-0.718767	-0.277220	0.251	0.282	10	4
YJL089W	SIP4	-1.937832	-1.914145	0.335	0.395	9	0
YJL090C	DPB11	-0.406007	-0.375412	0.272	0.303	11	3
YJL091C	GWT1	0.206904	0.277024	0.243	0.242	13	3
YJL092W	SRS2	0.073217	0.104555	0.242	0.309	12	2
YJL093C	TOK1	-0.175664	-0.571376	0.288	0.353	12	0
YJL094C	KHA1	-0.517813	-0.764039	0.265	0.310	11	1
YJL095W	BCK1	-0.486339	-0.644639	0.296	0.267	11	4
YJL096W	MRPL49	0.061547	0.306330	0.289	0.227	10	4
YJL097W	PHS1	0.877357	0.874498	0.248	0.250	13	2
YJL098W	SAP185	0.042140	0.451714	0.226	0.245	10	5
YJL099W	CHS6	-0.446182	-0.317845	0.301	0.336	11	4
YJL100W	LSB6	-0.680353	-0.950663	0.280	0.343	10	2
YJL101C	GSH1	0.347136	0.405167	0.250	0.273	11	5
YJL102W	MEF2	-0.667024	-0.301599	0.272	0.290	9	3
YJL103C	GSM1	-1.023533	-1.071045	0.301	0.440	10	1
YJL104W	PAM16	0.490933	0.770668	0.227	0.244	11	6
YJL105W	SET4	-1.552185	-1.641622	0.279	0.411	9	0
YJL106W	IME2	-1.042236	-1.098231	0.288	0.387	12	1
YJL107C		-1.203407	-0.771912	0.266	0.310	9	1
YJL108C	PRM10	-0.960387	-1.114420	0.284	0.439	11	0
YJL109C	UTP10	0.436317	0.976929	0.246	0.218	9	8
YJL110C	GZF3	-0.110950	-0.312473	0.255	0.270	12	2
YJL111W	CCT7	0.946819	0.664333	0.263	0.334	13	6
YJL112W	MDV1	0.027190	0.351657	0.261	0.212	12	5
YJL113W		-1.109080	-1.289490	0.314	0.407	7	0
YJL114W		-2.310917	-2.275707	0.368	0.471	5	0
YJL115W	ASF1	0.483607	0.675567	0.272	0.238	11	7
YJL116C	NCA3	-0.848291	-1.028239	0.321	0.404	11	0
YJL117W	PHO86	0.987737	1.135808	0.256	0.268	13	4
YJL118W		-0.525798	-0.774144	0.275	0.363	11	1
YJL121C	RPE1	0.800271	0.706675	0.242	0.223	11	7
YJL122W	ALB1	0.659287	0.816908	0.246	0.236	12	5
YJL123C	MTC1	0.776442	0.762461	0.240	0.262	12	8
YJL124C	LSM1	0.624862	0.816094	0.247	0.233	11	6
YJL125C	GCD14	0.241714	0.348262	0.242	0.257	11	5
YJL126W	NIT2	-0.370992	-0.493620	0.244	0.321	11	2
YJL127C	SPT10	-0.450738	-0.300939	0.305	0.311	11	3
YJL127C-B		-0.980332	-1.070742	0.303	0.397	4	1
YJL128C	PBS2	0.413042	0.546158	0.277	0.225	12	7
YJL129C	TRK1	-0.018161	-0.357603	0.262	0.337	12	1
YJL130C	URA2	1.365358	1.495266	0.242	0.232	12	9
YJL131C	AIM23	-0.434534	-0.399369	0.251	0.319	11	4
YJL132W		-0.602142	-0.723957	0.251	0.363	12	1
YJL133C-A		-0.923505	-0.815651	0.252	0.374	4	3
YJL133W	MRS3	0.057662	-0.070258	0.252	0.296	10	3
YJL134W	LCB3	0.141240	-0.182489	0.232	0.350	13	2
YJL136C	RPS21B	2.538110	2.141002	0.257	0.209	12	6
YJL136W-A		-2.296831	-2.300176	0.406	0.489	3	0
YJL137C	GLG2	-0.418987	-0.286604	0.305	0.312	10	3
YJL138C	TIF2	2.208473	2.173904	0.257	0.245	11	5
YJL139C	YUR1	-0.335543	-0.082404	0.240	0.266	10	3
YJL140W	RPB4	0.828183	0.887975	0.272	0.251	11	6
YJL141C	YAK1	-0.322587	-0.334500	0.269	0.354	10	6
YJL143W	TIM17	1.112523	0.953763	0.246	0.230	13	4
YJL144W		-0.636516	-0.813238	0.277	0.317	11	1
YJL145W	SFH5	0.357596	0.651569	0.250	0.259	9	5
YJL146W	IDS2	-0.326509	0.006035	0.250	0.219	11	5
YJL147C		-0.615312	-0.438281	0.285	0.316	11	2
YJL148W	RPA34	1.126676	1.017895	0.204	0.193	12	6
YJL149W	DAS1	-0.659198	-0.705767	0.261	0.316	10	3
YJL151C	SNA3	1.436948	1.297429	0.267	0.259	12	5
YJL153C	INO1	-1.007010	-0.799641	0.320	0.361	9	4
YJL154C	VPS35	0.516154	0.634457	0.217	0.225	12	6
YJL155C	FBP26	-0.239255	-0.045345	0.270	0.276	12	4
YJL156C	SSY5	-0.297761	-0.495017	0.251	0.379	10	2
YJL157C	FAR1	0.258010	-0.174031	0.256	0.296	12	2
YJL158C	CIS3	2.187026	1.441499	0.259	0.306	13	4
YJL159W	HSP150	1.763785	1.188236	0.249	0.312	12	5
YJL160C		-1.291738	-1.256887	0.269	0.356	10	1
YJL161W	FMP33	-0.497085	-0.609986	0.277	0.361	10	2
YJL162C	JJJ2	-0.707983	-0.738106	0.264	0.303	11	2
YJL163C		-0.880458	-1.076480	0.298	0.445	12	0
YJL164C	TPK1	0.172970	0.318377	0.234	0.227	12	5
YJL165C	HAL5	0.001360	-0.117628	0.275	0.357	12	3
YJL166W	QCR8	1.123321	0.829222	0.240	0.234	12	5
YJL167W	ERG20	1.353238	1.267523	0.244	0.340	11	8
YJL168C	SET2	-0.061851	-0.059618	0.237	0.241	11	6
YJL170C	ASG7	-0.723610	-0.745348	0.268	0.366	10	1
YJL171C		0.852638	0.758095	0.245	0.202	13	7
YJL172W	CPS1	0.469208	0.283783	0.278	0.324	12	7
YJL173C	RFA3	0.767206	0.993019	0.258	0.243	12	6
YJL174W	KRE9	0.703215	0.306821	0.270	0.369	10	3
YJL176C	SWI3	0.058345	0.181872	0.270	0.238	11	5
YJL177W	RPL17B	1.843602	1.779190	0.285	0.210	10	7
YJL178C	ATG27	0.767602	0.852077	0.267	0.242	12	6
YJL179W	PFD1	0.248702	0.294066	0.224	0.194	11	5
YJL180C	ATP12	0.004431	0.180232	0.274	0.307	8	3
YJL181W		-0.479611	-0.667091	0.302	0.400	10	1
YJL183W	MNN11	0.586557	0.647413	0.235	0.222	11	6
YJL184W	GON7	0.326999	0.314189	0.256	0.261	11	5
YJL185C	ATG36	-1.065599	-1.241726	0.298	0.445	9	0
YJL186W	MNN5	0.663034	0.724392	0.250	0.238	11	5
YJL187C	SWE1	-0.453314	-0.624720	0.284	0.355	11	2
YJL189W	RPL39	1.769039	1.018784	0.276	0.341	10	4
YJL190C	RPS22A	2.627959	1.932549	0.251	0.255	13	5
YJL191W	RPS14B	1.316911	1.063701	0.296	0.233	11	5
YJL192C	SOP4	1.141607	1.113573	0.229	0.262	13	6
YJL193W		-0.369517	-0.538155	0.264	0.346	10	1
YJL194W	CDC6	-0.504743	-0.686784	0.227	0.378	10	1
YJL196C	ELO1	1.073576	0.857779	0.224	0.236	13	4
YJL197W	UBP12	0.103572	0.438289	0.244	0.233	11	5
YJL198W	PHO90	0.512124	0.484394	0.236	0.237	12	6
YJL200C	ACO2	0.658606	1.042518	0.280	0.207	12	9
YJL201W	ECM25	-0.161791	0.325997	0.282	0.233	10	5
YJL203W	PRP21	-0.305763	-0.056133	0.270	0.316	10	3
YJL204C	RCY1	-0.387059	-0.149402	0.261	0.288	11	3
YJL205C	NCE101	-1.227757	-1.111648	0.349	0.403	4	1
YJL206C		-0.747398	-0.977564	0.310	0.437	11	0
YJL207C	LAA1	0.026415	0.124452	0.256	0.213	11	5
YJL208C	NUC1	0.102276	0.198909	0.248	0.283	11	4
YJL209W	CBP1	-0.247487	-0.196312	0.260	0.292	11	2
YJL210W	PEX2	-0.256289	-0.387519	0.283	0.308	12	3
YJL212C	OPT1	0.380630	0.536642	0.287	0.219	11	4
YJL213W		-0.378301	-0.745899	0.239	0.382	12	0
YJL214W	HXT8	-0.996533	-0.812718	0.286	0.308	11	1
YJL216C	IMA5	-1.377265	-1.416607	0.307	0.397	8	0
YJL217W	REE1	0.822339	0.493518	0.236	0.258	13	6
YJL218W		-0.752386	-0.762505	0.317	0.404	10	2
YJL219W	HXT9	-1.901239	-1.809293	0.285	0.408	8	0
YJL221C	IMA4	-1.797556	-1.811587	0.319	0.444	7	0
YJL222W	VTH2	-0.818124	-0.819613	0.254	0.320	9	2
YJL223C	PAU1	-1.514903	-1.589176	0.317	0.390	6	0
YJL225C		-0.573650	-0.878083	0.318	0.431	5	0
YJR001W	AVT1	0.546688	0.211910	0.244	0.263	13	3
YJR002W	MPP10	0.349879	0.201979	0.269	0.380	12	5
YJR003C		0.181055	0.384035	0.266	0.225	11	5
YJR004C	SAG1	-0.247210	-0.587511	0.272	0.395	12	0
YJR005C-A	LSO1	-3.385368	-3.183802	0.385	0.566	3	0
YJR005W	APL1	0.115973	0.305261	0.277	0.233	12	4
YJR006W	POL31	-0.046306	-0.152306	0.256	0.310	12	4
YJR007W	SUI2	1.483364	1.543186	0.257	0.214	13	7
YJR008W	MHO1	-0.401818	-0.411783	0.262	0.300	13	3
YJR009C	TDH2	3.218828	2.902317	0.244	0.233	12	11
YJR010C-A	SPC1	0.052479	0.470341	0.243	0.229	10	6
YJR010W	MET3	0.042881	0.495961	0.259	0.252	12	6
YJR011C		-0.739023	-0.351268	0.269	0.279	11	3
YJR012C		-0.332197	-0.456950	0.242	0.289	11	1
YJR013W	GPI14	0.081637	0.134155	0.271	0.298	11	2
YJR014W	TMA22	1.073603	1.289389	0.295	0.217	13	7
YJR015W		0.789622	0.240617	0.257	0.212	13	5
YJR016C	ILV3	1.663602	1.956835	0.252	0.192	13	10
YJR017C	ESS1	0.700530	0.811483	0.250	0.226	12	7
YJR019C	TES1	-0.474559	-0.488329	0.257	0.377	11	3
YJR021C	REC107	-0.441222	-0.713012	0.289	0.367	12	1
YJR022W	LSM8	-0.525975	-0.199712	0.256	0.291	9	3
YJR024C	MDE1	0.504441	0.184876	0.251	0.297	11	5
YJR025C	BNA1	0.692723	0.628904	0.277	0.318	13	7
YJR026W		-0.445810	-0.744335	0.291	0.384	4	0
YJR027W		0.228595	-0.309105	0.250	0.332	7	0
YJR028W		-0.199648	-0.443324	0.302	0.364	6	1
