# mRNA and protein levels, scaled to (average) molecules per haploid cell, sampled according to mean and variance of SCM estimates, for haploid budding yeast (S.cerevisiae) growing exponentially in rich medium with glucose 
#
# Generated Tue Apr 07 00:00:36 2015 
#
# Citation:
#   "Accounting for experimental noise reveals that transcript levels,
#   amplified by post-transcriptional regulation, largely determine steady-state protein levels in yeast,"
#   Gábor Csárdi, Alexander Franks, David S. Choi, Eduardo M. Airoldi, and D. Allan Drummond, PLoS Genetics, 2015
#
# orf = Systematic yeast ORF (open reading frame) identifier
# gene = Common gene name
# mrna = Messenger RNA level
# prot = Protein level
# n.mrna = Number of mRNA-level measurements
# n.prot = Number of protein-level measurements
orf	gene	mrna	prot	n.mrna	n.prot
YJL191W	RPS14B	9.4424	28112.7427	11	5
YJL192C	SOP4	7.9981	8146.0382	13	6
YJL193W		0.9145	161.0251	10	1
YJL194W	CDC6	0.9050	357.0574	10	1
YJL196C	ELO1	4.2278	6952.5240	13	4
YJL197W	UBP12	4.9810	608.9756	11	5
YJL198W	PHO90	9.1746	2673.6069	12	6
YJL200C	ACO2	4.6614	2029.5930	12	9
YJL201W	ECM25	5.7699	1203.5657	10	5
YJL203W	PRP21	2.4853	735.0322	10	3
YJL204C	RCY1	4.4026	707.1895	11	3
YJL205C	NCE101	0.6873	28.3878	4	1
YJL206C		1.8820	479.1509	11	0
YJL207C	LAA1	4.2863	1395.8987	11	5
YJL208C	NUC1	7.2724	1501.1140	11	4
YJL209W	CBP1	1.2007	220.9023	11	2
YJL210W	PEX2	1.7828	360.9649	12	3
YJL212C	OPT1	12.7418	5872.7941	11	4
YJL213W		0.9685	377.6277	12	0
YJL214W	HXT8	0.8517	64.8094	11	1
YJL216C	IMA5	0.6803	57.8710	8	0
YJL217W	REE1	3.3445	2158.6372	13	6
YJL218W		1.5840	145.4370	10	2
YJL219W	HXT9	0.2308	10.2627	8	0
YJL221C	IMA4	0.4759	13.0521	7	0
YJL222W	VTH2	1.2828	101.8221	9	2
YJL223C	PAU1	0.2757	16.5485	6	0
YJL225C		2.0492	181.6623	5	0
YJR001W	AVT1	7.2408	3022.5282	13	3
YJR002W	MPP10	3.8261	2400.9702	12	5
YJR003C		3.5557	771.9201	11	5
YJR004C	SAG1	1.5994	216.0620	12	0
YJR005C-A	LSO1	0.0881	1.3804	3	0
YJR005W	APL1	7.0060	637.6000	12	4
YJR006W	POL31	2.2504	500.0848	12	4
YJR007W	SUI2	20.8925	15342.8842	13	7
YJR008W	MHO1	2.3009	735.5065	13	3
YJR009C	TDH2	93.4976	829978.5639	12	11
YJR010C-A	SPC1	4.9284	1442.3358	10	6
YJR010W	MET3	6.5275	1206.9919	12	6
YJR011C		3.7105	113.1049	11	3
YJR012C		1.6384	369.4548	11	1
YJR013W	GPI14	2.4441	453.0269	11	2
YJR014W	TMA22	18.2352	7532.5307	13	7
YJR015W		4.1287	4768.4512	13	5
YJR016C	ILV3	31.5614	36612.6287	13	10
YJR017C	ESS1	6.8544	3766.7532	12	7
YJR019C	TES1	1.5146	707.9592	11	3
YJR021C	REC107	0.9506	183.7966	12	1
YJR022W	LSM8	3.1227	212.0857	9	3
YJR024C	MDE1	5.5592	2111.8865	11	5
YJR025C	BNA1	2.3376	2311.3572	13	7
YJR026W		0.7340	347.7596	4	0
YJR027W		2.4037	1175.4350	7	0
YJR028W		1.6217	369.2223	6	1
YJR029W		1.8876	624.0956	8	0
YJR030C		2.1223	498.2633	10	0
YJR031C	GEA1	6.6833	349.4952	12	4
YJR032W	CPR7	5.5216	1153.8958	11	5
YJR033C	RAV1	2.0027	392.0422	12	5
YJR034W	PET191	1.6498	196.7684	11	3
YJR035W	RAD26	0.8632	66.6750	9	2
YJR036C	HUL4	0.5570	24.0503	12	0
YJR039W		0.7680	69.9641	11	0
YJR040W	GEF1	2.5957	1349.2484	11	3
YJR041C	URB2	4.9486	858.7190	12	6
YJR042W	NUP85	13.1010	2218.2424	11	5
YJR043C	POL32	3.1556	614.7553	11	5
YJR044C	VPS55	7.2659	4402.8517	13	2
YJR045C	SSC1	25.2450	29563.4233	13	7
YJR046W	TAH11	2.9549	771.9823	11	3
YJR047C	ANB1	5.7274	2142.4517	11	7
YJR048W	CYC1	6.3810	3618.6547	12	7
YJR049C	UTR1	5.2757	1890.8553	12	5
YJR050W	ISY1	3.8446	1239.4587	11	3
YJR051W	OSM1	3.2771	983.0720	12	6
YJR052W	RAD7	1.6773	477.4421	12	4
YJR053W	BFA1	1.0255	42.7165	9	2
YJR054W	KCH1	2.1105	692.7434	11	1
YJR055W	HIT1	2.5565	412.9123	11	3
YJR056C		1.4278	485.2632	11	1
YJR057W	CDC8	4.5624	1054.4086	11	3
YJR058C	APS2	3.6612	964.5383	11	2
YJR059W	PTK2	5.3232	1841.0896	13	6
YJR060W	CBF1	6.8676	921.5753	10	7
YJR061W		0.4034	22.0415	9	1
YJR062C	NTA1	4.2730	1662.4825	11	4
YJR063W	RPA12	6.7389	3658.6988	12	6
YJR064W	CCT5	3.7498	2219.7006	12	7
YJR065C	ARP3	5.9379	3742.0347	13	6
YJR066W	TOR1	4.1766	346.6688	11	4
YJR067C	YAE1	3.9905	533.7082	11	4
YJR068W	RFC2	5.9446	2188.5252	11	5
YJR069C	HAM1	9.4165	4009.2170	13	7
YJR070C	LIA1	21.0664	13515.6698	13	9
YJR072C	NPA3	10.8663	2786.3895	12	5
YJR073C	OPI3	5.3533	4444.0048	13	5
YJR074W	MOG1	5.1257	1147.2937	13	3
YJR075W	HOC1	10.2231	2951.9063	12	6
YJR076C	CDC11	9.7047	2360.6083	12	6
YJR077C	MIR1	20.7038	5719.7804	13	7
YJR078W	BNA2	0.7479	115.2729	9	2
YJR079W		1.4852	365.5056	9	1
YJR080C	AIM24	3.9720	723.8572	11	5
YJR082C	EAF6	4.2304	736.1441	12	3
YJR083C	ACF4	1.8683	535.1933	12	4
YJR084W		2.6355	944.9516	13	3
YJR085C		9.0176	2982.5751	12	4
YJR086W	STE18	8.5911	5542.7372	12	4
YJR088C	EMC2	11.1813	3982.3793	11	6
YJR089W	BIR1	1.1896	146.4606	10	3
YJR090C	GRR1	2.4712	672.2410	12	3
YJR091C	JSN1	5.6289	3360.4410	11	7
YJR092W	BUD4	2.7918	306.6282	11	4
YJR093C	FIP1	4.4820	460.9094	12	3
YJR094C	IME1	1.4576	83.5737	10	0
YJR094W-A	RPL43B	27.1365	26915.8162	7	4
YJR095W	SFC1	0.9505	16.6195	8	1
YJR096W		5.3166	913.9007	12	4
YJR097W	JJJ3	3.0792	302.8967	11	3
YJR098C		2.8144	390.2859	11	4
YJR099W	YUH1	4.6939	779.5074	9	2
YJR100C	AIM25	1.5794	233.2277	10	2
YJR101W	RSM26	6.3076	2713.9425	13	6
YJR102C	VPS25	2.1904	1041.4502	12	0
YJR103W	URA8	9.6797	2041.8820	13	8
YJR104C	SOD1	45.7410	109099.6244	13	10
YJR105W	ADO1	26.5760	38368.9322	13	10
YJR106W	ECM27	0.4275	183.2659	11	0
YJR107W		0.4044	254.3927	11	0
YJR108W	ABM1	0.8707	113.1750	9	0
YJR109C	CPA2	10.4188	2737.7369	12	9
YJR110W	YMR1	1.3963	266.8213	11	3
YJR111C		2.9113	921.8933	12	3
YJR112W	NNF1	2.1480	492.9980	11	4
YJR112W-A		0.3269	27.7873	3	0
YJR113C	RSM7	4.4009	2977.8908	12	4
YJR115W		2.2853	445.8165	12	0
YJR116W	TDA4	3.6798	656.7508	13	1
YJR117W	STE24	15.0284	4328.4974	13	8
YJR118C	ILM1	4.9791	2231.1095	13	5
YJR119C	JHD2	2.2715	179.1522	11	2
YJR120W		1.3679	339.6715	9	0
YJR121W	ATP2	43.5391	22555.3431	13	10
YJR122W	IBA57	1.8509	870.6073	11	3
YJR123W	RPS5	57.3249	145307.2017	11	8
YJR124C		1.7723	998.6527	11	2
YJR125C	ENT3	9.4693	2411.2200	12	6
YJR126C	VPS70	1.9554	1489.1266	13	1
YJR127C	RSF2	1.5623	736.5835	12	1
YJR129C	EFM3	1.4364	325.1044	11	4
YJR130C	STR2	2.6532	655.3863	12	3
YJR131W	MNS1	4.5079	1268.2153	11	5
YJR132W	NMD5	4.1222	340.9331	12	6
YJR133W	XPT1	1.5393	335.2032	11	4
YJR134C	SGM1	2.6398	985.0717	12	3
YJR135C	MCM22	0.8822	175.1173	11	2
YJR135W-A	TIM8	1.0743	382.5743	6	5
YJR136C	TTI2	2.5925	378.4925	10	2
YJR137C	MET5	8.9213	1509.0797	11	8
YJR138W	IML1	0.9684	244.4751	10	3
YJR139C	HOM6	17.7565	20473.8018	13	9
YJR140C	HIR3	1.8374	434.1484	9	5
YJR141W		1.1681	205.1343	10	0
YJR142W		1.6859	967.5809	11	3
YJR143C	PMT4	12.2712	10237.9056	13	6
YJR144W	MGM101	4.5184	3595.2410	12	5
YJR145C	RPS4A	22.4137	91722.0277	12	4
YJR147W	HMS2	3.2206	986.0754	10	2
YJR148W	BAT2	12.5520	34446.2167	13	10
YJR149W		2.1189	134.7914	10	3
YJR150C	DAN1	0.2925	36.8922	8	0
YJR151C	DAN4	1.1596	197.6097	11	1
YJR151W-A		0.0708	1.3496	2	0
YJR152W	DAL5	2.3516	259.0142	11	1
YJR153W	PGU1	1.1935	68.3353	10	1
YJR154W		1.9393	198.6681	9	1
YJR155W	AAD10	0.4832	75.3780	10	0
YJR156C	THI11	0.9411	20.1602	7	1
YJR158W	HXT16	0.3623	14.4672	5	0
YJR159W	SOR1	0.2886	40.3297	7	0
YJR160C	MPH3	0.8100	43.8882	8	0
YJR161C	COS5	1.2752	288.7391	9	2
YKL001C	MET14	4.8311	1964.2461	11	6
YKL002W	DID4	3.7511	1088.5641	13	4
YKL003C	MRP17	2.3756	1556.6529	12	2
YKL004W	AUR1	6.6816	5996.0130	13	3
YKL005C	BYE1	4.4948	3500.6454	11	4
YKL006C-A	SFT1	2.3534	517.3463	8	3
YKL006W	RPL14A	36.4400	53095.7311	11	6
YKL007W	CAP1	7.1660	2861.8000	12	8
YKL008C	LAC1	8.5327	2538.6439	12	5
YKL009W	MRT4	11.4543	16811.9742	13	6
YKL010C	UFD4	8.3585	665.8540	11	6
YKL011C	CCE1	0.9052	66.5474	10	1
YKL012W	PRP40	7.6758	1941.5377	11	2
YKL013C	ARC19	8.5208	7602.5207	12	7
YKL014C	URB1	6.1657	1055.9626	12	8
YKL015W	PUT3	1.8073	490.9985	11	2
YKL016C	ATP7	8.4707	4533.7888	12	8
YKL017C	HCS1	1.6159	187.1756	10	4
YKL018C-A		2.7021	272.3044	5	4
YKL018W	SWD2	1.8389	370.4229	11	4
YKL019W	RAM2	2.5484	1821.1419	12	3
YKL020C	SPT23	1.0328	445.4363	10	5
YKL021C	MAK11	5.2043	2596.7345	10	5
YKL022C	CDC16	6.7600	929.8068	11	4
YKL023C-A		0.6976	36.6720	3	2
YKL023W		5.7568	341.5778	12	4
YKL024C	URA6	7.5180	6245.5487	13	7
YKL025C	PAN3	3.9131	858.4711	12	5
YKL026C	GPX1	0.2237	42.1728	11	0
YKL027W	TCD2	4.8833	1995.1352	12	5
YKL028W	TFA1	7.6440	1349.3697	12	4
YKL029C	MAE1	16.2197	1978.1896	11	9
YKL032C	IXR1	7.9699	1789.0948	12	4
YKL033W	TTI1	1.3138	436.5387	10	3
YKL033W-A		7.8835	2349.9686	7	4
YKL034W	TUL1	0.8666	406.3972	12	2
YKL035W	UGP1	19.0275	19013.1975	12	9
YKL037W	AIM26	0.5022	57.0303	7	0
YKL038W	RGT1	1.1130	301.3771	11	2
YKL039W	PTM1	1.3856	839.6904	13	2
YKL040C	NFU1	9.9145	1598.2638	11	7
YKL041W	VPS24	4.5987	1129.2626	12	5
YKL042W	SPC42	2.5966	313.7338	11	3
YKL043W	PHD1	3.6769	1249.4932	12	2
YKL045W	PRI2	1.1563	1007.1782	12	2
YKL046C	DCW1	8.1492	5149.8743	13	4
YKL047W	ANR2	2.8388	452.2733	12	4
YKL048C	ELM1	0.8465	160.6839	11	3
YKL049C	CSE4	3.0104	694.7693	10	2
YKL050C		0.3165	50.0489	7	1
YKL051W	SFK1	7.0025	932.5326	13	3
YKL052C	ASK1	3.2060	1293.9688	10	4
YKL053C-A	MDM35	5.8045	4477.8563	9	6
YKL054C	DEF1	20.3954	12894.9705	12	9
YKL055C	OAR1	1.0173	104.5060	9	3
YKL056C	TMA19	88.8419	71684.7171	13	10
YKL057C	NUP120	1.8720	756.8702	12	3
YKL058W	TOA2	10.6950	2051.9743	11	5
YKL059C	MPE1	2.7876	486.5241	11	5
YKL060C	FBA1	224.7408	1710466.3239	12	11
YKL061W	BLI1	3.8854	607.8694	11	4
YKL062W	MSN4	3.7769	749.1335	13	2
YKL063C		4.1252	1367.1054	10	6
YKL064W	MNR2	2.3449	1267.9340	12	4
YKL065C	YET1	12.7248	4480.4736	13	5
YKL065W-A		0.2824	10.8722	3	1
YKL067W	YNK1	12.0957	9050.0427	10	9
YKL068W	NUP100	4.0308	1938.0275	11	6
YKL068W-A		0.5766	30.8860	4	0
YKL069W		4.7569	743.9923	11	5
YKL070W		0.3755	55.0960	9	0
YKL071W		19.8615	1068.2768	11	2
YKL072W	STB6	2.1025	782.9230	11	2
YKL073W	LHS1	2.6211	612.1254	12	7
YKL074C	MUD2	3.3113	1211.7565	11	3
YKL075C		1.2406	687.8158	10	5
YKL077W		12.1777	4476.3647	12	6
YKL078W	DHR2	2.3076	427.7356	11	3
YKL079W	SMY1	4.3189	359.7796	11	4
YKL080W	VMA5	26.7010	50707.7865	12	8
YKL081W	TEF4	40.1575	301088.2887	13	9
YKL082C	RRP14	4.1746	3157.1216	10	3
YKL084W	HOT13	3.4219	741.3577	12	3
YKL085W	MDH1	11.8574	20644.7157	13	8
YKL086W	SRX1	1.8921	123.0267	10	2
YKL087C	CYT2	2.6552	956.1328	13	2
YKL088W	CAB3	8.5777	2314.2073	11	7
YKL089W	MIF2	1.5386	363.8669	11	3
YKL090W	CUE2	1.6920	253.3130	12	2
YKL091C		2.2267	624.5531	11	4
YKL092C	BUD2	4.4191	1151.9485	11	6
YKL093W	MBR1	0.7845	155.3519	10	1
YKL094W	YJU3	9.6585	2675.8507	13	5
YKL095W	YJU2	3.0011	160.1150	11	2
YKL096C-B		0.0906	3.4221	4	0
YKL096W	CWP1	12.3048	7176.0483	12	5
YKL096W-A	CWP2	18.1272	4926.1809	7	1
YKL098W	MTC2	2.2539	259.0217	11	1
YKL099C	UTP11	2.1049	823.1542	12	3
YKL100C	YPF1	2.8411	529.8118	13	3
YKL101W	HSL1	4.2916	1000.2188	11	2
YKL103C	APE1	7.1399	826.8034	12	7
YKL104C	GFA1	13.6648	4390.3733	13	7
YKL105C	SEG2	2.5625	204.3947	11	3
YKL106C-A		0.0493	1.0370	2	0
YKL106W	AAT1	4.7890	1551.7931	11	5
YKL107W		0.4327	25.9679	7	0
YKL108W	SLD2	1.3436	163.4587	11	1
YKL109W	HAP4	2.1068	870.1813	12	0
YKL110C	KTI12	6.6560	2309.3655	11	5
YKL112W	ABF1	4.6415	576.6701	10	6
YKL113C	RAD27	4.3206	1166.5407	11	6
YKL114C	APN1	8.8224	3453.1705	11	6
YKL116C	PRR1	6.0116	299.5128	12	4
YKL117W	SBA1	31.6510	10109.4528	12	10
YKL119C	VPH2	2.6789	1446.4154	12	3
YKL120W	OAC1	7.4957	3069.4078	12	6
YKL121W	DGR2	3.0584	239.0112	11	3
YKL122C	SRP21	9.0256	4267.6782	12	7
YKL124W	SSH4	1.1157	158.4184	11	2
YKL125W	RRN3	1.9638	324.1442	11	3
YKL126W	YPK1	6.7493	3875.5688	13	7
YKL127W	PGM1	10.8436	2564.8119	13	9
YKL128C	PMU1	5.1927	1701.3378	12	6
YKL129C	MYO3	2.5742	510.1339	10	6
YKL130C	SHE2	3.5609	986.5118	11	5
YKL132C	RMA1	1.5284	226.8841	11	1
YKL133C		0.4305	148.1438	12	1
YKL134C	OCT1	4.4544	210.1234	10	3
YKL135C	APL2	4.2262	1889.1152	11	8
YKL137W	CMC1	3.8505	1171.7105	11	6
YKL138C	MRPL31	3.8758	1025.7901	11	4
YKL138C-A	HSK3	0.7362	67.1904	4	1
YKL139W	CTK1	2.3408	184.5288	11	5
YKL140W	TGL1	5.4878	693.6875	13	5
YKL141W	SDH3	6.7121	4541.9117	12	4
YKL142W	MRP8	9.2612	3367.3502	12	8
YKL143W	LTV1	9.7554	2203.8935	12	5
YKL144C	RPC25	2.3880	721.2494	12	4
YKL145W	RPT1	7.1542	6439.5726	13	8
YKL146W	AVT3	2.8479	834.2350	12	3
YKL148C	SDH1	3.0659	856.9553	12	7
YKL149C	DBR1	3.3031	562.1859	12	2
YKL150W	MCR1	5.2314	1851.1890	13	8
YKL151C		4.0095	1050.1992	13	6
YKL152C	GPM1	80.8063	774163.2724	12	10
YKL154W	SRP102	10.6352	923.4161	10	6
YKL155C	RSM22	3.6725	773.0429	11	4
YKL156W	RPS27A	47.5057	57193.2580	12	5
YKL157W	APE2	11.4513	5292.8779	12	7
YKL159C	RCN1	2.5147	227.5427	12	3
YKL160W	ELF1	9.4223	9306.4653	12	4
YKL161C	KDX1	0.9089	400.2687	11	1
YKL162C		1.0920	92.8600	11	1
YKL163W	PIR3	1.7824	1621.8211	12	0
YKL164C	PIR1	7.5197	22838.5382	12	4
YKL165C	MCD4	6.5284	2271.0064	9	5
YKL166C	TPK3	8.4069	1535.9583	12	4
YKL167C	MRP49	6.3167	602.9473	11	3
YKL168C	KKQ8	3.6017	501.0282	11	3
YKL170W	MRPL38	4.4797	1341.3551	11	4
YKL171W	NNK1	0.9145	110.9294	10	0
YKL172W	EBP2	5.4454	3120.4425	12	5
YKL173W	SNU114	3.6838	361.0368	12	6
YKL174C	TPO5	2.6582	1247.5830	11	2
YKL175W	ZRT3	2.1564	1826.2954	11	2
YKL176C	LST4	1.6425	1318.4122	11	1
YKL178C	STE3	0.7067	282.3093	9	1
YKL179C	COY1	5.4464	1506.4913	12	7
YKL180W	RPL17A	22.3752	42989.7150	11	6
YKL181W	PRS1	11.2226	10557.5990	13	8
YKL182W	FAS1	40.3742	14253.0181	13	9
YKL183C-A		0.5539	50.6340	4	0
YKL183W	LOT5	5.3803	503.6987	11	4
YKL184W	SPE1	2.0458	1594.4453	13	4
YKL185W	ASH1	2.9558	2242.3086	12	2
YKL186C	MTR2	3.6894	1965.4611	13	2
YKL187C	FAT3	0.7422	55.5290	11	1
YKL188C	PXA2	0.8140	103.5977	10	1
YKL189W	HYM1	2.5118	119.9541	11	4
YKL190W	CNB1	10.8466	3547.2357	12	4
YKL191W	DPH2	12.6201	3523.5661	13	5
YKL192C	ACP1	24.6393	12198.0681	12	6
YKL193C	SDS22	4.4310	2036.9743	12	7
YKL194C	MST1	2.4510	695.8769	11	3
YKL195W	MIA40	7.0883	4457.9207	11	8
YKL196C	YKT6	9.5966	2871.2567	12	5
YKL197C	PEX1	2.3902	510.7772	12	5
YKL198C	PTK1	1.2842	257.0165	10	2
YKL201C	MNN4	1.3838	83.4403	9	3
YKL203C	TOR2	2.0600	443.1640	11	4
YKL204W	EAP1	6.3208	1566.2660	11	9
YKL205W	LOS1	4.2745	1379.9299	10	5
YKL206C	ADD66	4.4609	1191.6501	10	5
YKL207W	EMC3	5.2571	4085.6565	12	2
YKL208W	CBT1	0.9663	233.9081	11	0
YKL209C	STE6	6.9438	2452.8833	11	3
YKL210W	UBA1	22.9968	20914.0787	13	10
YKL211C	TRP3	16.5701	3366.7107	11	8
YKL212W	SAC1	22.3643	8500.3716	13	8
YKL213C	DOA1	5.2575	902.4075	13	4
YKL214C	YRA2	3.5127	628.4526	13	5
YKL215C	OXP1	5.6946	1190.1225	11	8
YKL216W	URA1	40.3542	28736.0350	12	9
YKL217W	JEN1	1.1465	155.5900	12	1
YKL218C	SRY1	5.1810	499.6162	10	3
YKL219W	COS9	2.5590	747.9732	9	1
YKL220C	FRE2	0.9299	110.3185	11	0
YKL221W	MCH2	0.2056	21.2602	9	0
YKL222C		0.6213	184.6542	10	0
YKL224C	PAU16	0.1538	9.0780	6	0
YKR001C	VPS1	6.9384	3576.1080	12	8
YKR002W	PAP1	6.5428	1282.6429	11	7
YKR003W	OSH6	3.9564	2263.3635	11	5
YKR004C	ECM9	2.5215	1233.4566	11	2
YKR005C		0.3488	24.1081	10	0
YKR006C	MRPL13	9.4730	3337.7025	13	5
YKR007W	MEH1	4.8372	1293.8658	11	5
YKR008W	RSC4	5.9893	1136.6488	11	6
YKR009C	FOX2	0.3917	139.8549	9	1
YKR010C	TOF2	1.2943	147.4770	11	3
YKR011C		1.2613	543.2256	12	2
YKR013W	PRY2	5.1945	2092.3622	12	1
YKR014C	YPT52	13.8146	7616.5127	11	6
YKR015C		0.5474	12.3822	8	1
YKR016W	MIC60	7.6291	4372.8532	12	4
YKR017C	HEL1	1.9822	187.8164	11	1
YKR018C		9.1804	1343.6000	11	8
YKR019C	IRS4	0.9243	371.8276	11	2
YKR020W	VPS51	1.4724	230.6676	11	3
YKR021W	ALY1	3.2321	536.7763	11	3
YKR022C	NTR2	3.8740	392.3837	11	2
YKR023W		4.9659	429.6220	11	5
YKR024C	DBP7	5.3685	642.2741	11	7
YKR025W	RPC37	8.0544	3164.2966	12	5
YKR026C	GCN3	8.6705	2630.9452	12	8
YKR027W	BCH2	3.1197	452.1342	12	3
YKR028W	SAP190	5.4798	2507.9777	10	4
YKR029C	SET3	1.8806	775.1357	11	4
YKR030W	GMH1	1.0085	335.4206	12	0
YKR031C	SPO14	1.6339	686.5198	11	5
YKR034W	DAL80	0.3134	17.6755	8	0
YKR035W-A	DID2	5.6060	1006.0411	7	6
YKR036C	CAF4	2.5292	717.6453	12	3
YKR037C	SPC34	2.7950	414.0184	11	3
YKR038C	KAE1	6.0668	1114.6449	12	6
YKR039W	GAP1	0.6436	186.1121	12	3
YKR041W		0.6705	68.2334	7	1
YKR042W	UTH1	40.8169	42927.4757	13	5
YKR043C	SHB17	14.2568	16410.4963	13	9
YKR044W	UIP5	1.1019	410.2334	10	1
YKR045C		2.1666	368.8480	10	1
YKR046C	PET10	4.5410	1083.7898	12	6
YKR048C	NAP1	15.0386	6237.4088	12	8
YKR049C	FMP46	3.1605	638.5131	12	4
YKR050W	TRK2	2.0558	320.7613	11	0
YKR051W		1.4236	474.6327	11	0
YKR052C	MRS4	3.2062	1835.0853	11	4
YKR053C	YSR3	2.0539	134.3549	11	1
YKR054C	DYN1	1.3997	339.7439	11	4
YKR055W	RHO4	1.5841	617.2583	11	3
YKR056W	TRM2	3.5114	2038.1900	12	2
YKR057W	RPS21A	40.6525	104746.4749	12	5
YKR058W	GLG1	1.0935	232.7976	10	1
YKR059W	TIF1	38.9694	79068.2563	11	6
YKR060W	UTP30	5.1374	816.3536	12	4
YKR061W	KTR2	0.9350	670.6876	12	0
YKR062W	TFA2	5.5550	1333.6948	13	6
YKR063C	LAS1	3.0696	177.5370	11	3
YKR064W	OAF3	1.9572	341.2833	10	1
YKR065C	PAM17	5.2025	2607.8360	13	5
YKR066C	CCP1	6.7444	3634.2534	13	8
YKR067W	GPT2	3.6835	510.9757	12	7
YKR068C	BET3	5.9984	3037.1904	13	5
YKR069W	MET1	1.2810	181.5213	11	3
YKR070W		4.8378	534.1349	12	6
YKR071C	DRE2	5.6363	2202.8592	13	8
YKR072C	SIS2	9.0686	7214.3505	12	7
YKR074W	AIM29	7.9897	11105.5622	13	7
YKR075C		4.1116	466.8074	11	1
YKR076W	ECM4	1.5313	219.5904	12	4
YKR077W	MSA2	2.0707	1028.9200	11	2
YKR078W		1.4603	248.0276	10	4
YKR079C	TRZ1	3.2205	1495.8247	9	6
YKR080W	MTD1	9.2117	7831.7171	13	6
YKR081C	RPF2	5.4937	1710.2246	10	5
YKR082W	NUP133	5.5446	2526.4150	11	5
YKR083C	DAD2	4.7847	1319.6953	11	4
YKR084C	HBS1	7.2646	1142.8283	12	6
YKR085C	MRPL20	6.0279	1750.3573	11	5
YKR086W	PRP16	2.3706	182.6582	10	5
YKR087C	OMA1	2.5300	439.2277	11	2
YKR088C	TVP38	5.9374	1395.6918	13	4
YKR089C	TGL4	1.5886	797.6287	12	5
YKR090W	PXL1	5.6143	316.2900	11	5
YKR091W	SRL3	1.4792	574.8628	11	1
YKR092C	SRP40	18.7993	4886.5116	11	6
YKR093W	PTR2	3.1594	1078.2946	13	4
YKR094C	RPL40B	27.9543	53639.5040	10	3
YKR095W	MLP1	3.2983	221.2204	9	7
YKR095W-A	PCC1	1.2001	73.3061	4	3
YKR096W	ESL2	1.5826	740.4598	12	2
YKR097W	PCK1	0.3788	44.6507	10	3
YKR098C	UBP11	0.9828	158.9286	10	0
YKR099W	BAS1	2.1812	405.2557	10	4
YKR100C	SKG1	5.1711	1123.8791	12	3
YKR101W	SIR1	0.9427	100.9942	11	0
YKR102W	FLO10	0.6387	37.5679	11	0
YKR103W	NFT1	0.2120	15.8431	10	0
YKR104W		0.7947	135.5960	10	1
YKR105C	VBA5	0.6957	9.0139	6	0
YKR106W	GEX2	0.6596	82.5426	7	0
YLL001W	DNM1	5.6094	2834.7310	11	5
YLL002W	RTT109	4.3097	495.9607	10	3
YLL003W	SFI1	2.7666	583.6473	10	1
YLL004W	ORC3	2.6122	512.2634	10	2
YLL005C	SPO75	0.2770	25.3443	7	0
YLL006W	MMM1	2.1412	506.4242	9	3
YLL006W-A		0.1440	2.6380	3	0
YLL007C	LMO1	2.4137	353.6948	9	3
YLL008W	DRS1	8.3369	4802.1932	11	6
YLL009C	COX17	10.8679	3724.6147	11	2
YLL010C	PSR1	3.2181	1849.9581	11	5
YLL011W	SOF1	8.5078	2743.6232	11	5
YLL012W	YEH1	4.6391	825.3624	11	4
YLL013C	PUF3	3.4370	443.0548	9	6
YLL014W	EMC6	5.0190	2690.5889	12	2
YLL015W	BPT1	2.2947	438.2140	10	5
YLL018C	DPS1	20.2759	28018.7638	12	8
YLL018C-A	COX19	2.2831	1061.5948	9	3
YLL019C	KNS1	1.3567	200.8182	9	0
YLL021W	SPA2	5.7693	1123.4017	11	7
YLL022C	HIF1	5.7185	676.9326	11	6
YLL023C	POM33	6.2585	1529.2414	12	4
YLL024C	SSA2	155.2638	602092.1251	12	11
YLL025W	PAU17	0.2804	116.4621	10	0
YLL026W	HSP104	21.4629	16623.8734	12	9
YLL027W	ISA1	4.2809	1044.8050	10	5
YLL028W	TPO1	4.9271	1963.4886	11	4
YLL029W	FRA1	7.9556	1302.3161	11	7
YLL031C	GPI13	3.7216	1460.3566	12	5
YLL032C		3.4419	322.2281	10	5
YLL033W	IRC19	0.7261	66.4878	9	1
YLL034C	RIX7	4.2628	1469.8887	10	7
YLL035W	GRC3	1.5051	181.9971	10	1
YLL036C	PRP19	6.2910	1770.3034	9	5
YLL038C	ENT4	3.7511	312.4346	9	4
YLL039C	UBI4	3.4308	4810.6835	12	2
YLL040C	VPS13	2.2310	1003.1476	12	9
YLL041C	SDH2	5.2336	1895.8353	12	6
YLL042C	ATG10	1.0749	340.4264	10	0
YLL043W	FPS1	3.6072	2195.6292	12	5
YLL045C	RPL8B	56.2359	109863.6179	12	8
YLL046C	RNP1	0.1302	14.0970	8	0
YLL048C	YBT1	7.6152	8584.3902	11	6
YLL049W	LDB18	1.6400	1020.5651	11	0
YLL050C	COF1	19.7415	44498.7237	11	8
YLL051C	FRE6	1.9170	1542.2495	11	1
YLL052C	AQY2	0.7587	92.5856	8	0
YLL053C		1.5754	788.5210	12	0
YLL054C		0.7046	72.2316	9	2
YLL055W	YCT1	0.8593	113.0140	10	0
YLL056C		0.8873	99.6604	9	2
YLL057C	JLP1	0.7616	47.5883	9	1
YLL058W		2.2260	448.2695	10	3
YLL060C	GTT2	1.7857	326.5494	11	0
