# mRNA and protein levels, scaled to (average) molecules per haploid cell, sampled according to mean and variance of SCM estimates, for haploid budding yeast (S.cerevisiae) growing exponentially in rich medium with glucose 
#
# Generated Tue Apr 07 00:00:36 2015 
#
# Citation:
#   "Accounting for experimental noise reveals that transcript levels,
#   amplified by post-transcriptional regulation, largely determine steady-state protein levels in yeast,"
#   Gábor Csárdi, Alexander Franks, David S. Choi, Eduardo M. Airoldi, and D. Allan Drummond, PLoS Genetics, 2015
#
# orf = Systematic yeast ORF (open reading frame) identifier
# gene = Common gene name
# mrna = Messenger RNA level
# prot = Protein level
# n.mrna = Number of mRNA-level measurements
# n.prot = Number of protein-level measurements
orf	gene	mrna	prot	n.mrna	n.prot
YBL056W	PTC3	12.0180	2894.2356	11	6
YBL057C	PTH2	3.6892	2047.9364	11	4
YBL058W	SHP1	7.3419	4948.2018	11	8
YBL059C-A	CMC2	1.3603	79.7039	4	4
YBL059W		1.5840	236.7671	9	2
YBL060W	YEL1	1.8942	417.5788	11	2
YBL061C	SKT5	6.2257	3165.9209	9	6
YBL063W	KIP1	0.7407	318.0821	9	3
YBL064C	PRX1	5.8517	2996.6031	10	7
YBL066C	SEF1	1.0061	168.4399	9	3
YBL067C	UBP13	1.5167	523.5942	11	3
YBL068W	PRS4	7.0437	5437.3478	12	6
YBL069W	AST1	2.7683	754.4728	9	4
YBL071C-B		0.5071	25.5573	3	0
YBL071W-A	KTI11	5.0508	750.1821	5	2
YBL072C	RPS8A	28.3616	30060.1798	10	5
YBL074C	AAR2	3.0819	226.4649	8	3
YBL075C	SSA3	2.8070	302.5401	11	5
YBL076C	ILS1	32.0646	29143.9131	11	9
YBL078C	ATG8	2.7303	953.6690	10	3
YBL079W	NUP170	5.1303	739.1423	11	6
YBL080C	PET112	1.7767	231.5462	8	3
YBL081W		1.3151	1489.1993	10	1
YBL082C	ALG3	2.3715	535.8502	11	2
YBL084C	CDC27	2.1036	132.0648	8	5
YBL085W	BOI1	4.2586	2687.2350	11	8
YBL086C		2.6519	327.9117	10	3
YBL087C	RPL23A	21.7132	41048.0210	10	4
YBL088C	TEL1	1.0742	178.5146	10	3
YBL089W	AVT5	1.2415	226.5716	8	1
YBL090W	MRP21	3.2179	1085.1950	10	2
YBL091C	MAP2	6.5478	9455.5001	12	8
YBL091C-A	SCS22	0.9524	339.6387	8	2
YBL092W	RPL32	27.9773	193530.0823	12	7
YBL093C	ROX3	5.1605	2668.7226	10	4
YBL095W		1.2398	232.2029	9	3
YBL097W	BRN1	0.6070	25.8431	7	3
YBL098W	BNA4	2.7762	280.9119	9	3
YBL099W	ATP1	29.0324	8065.0930	12	10
YBL100W-A		NA	NA	0	0
YBL100W-B		0.2066	4.0975	1	0
YBL100W-C		0.1443	4.5765	2	0
YBL101C	ECM21	3.3006	1061.2551	11	6
YBL102W	SFT2	6.1040	2840.7803	11	4
YBL103C	RTG3	3.7273	505.7790	11	3
YBL104C	SEA4	2.9035	368.1065	11	4
YBL105C	PKC1	2.8895	641.0226	10	5
YBL106C	SRO77	1.4741	176.3382	9	1
YBL107C	MIX23	2.7934	533.8014	11	2
YBL108C-A	PAU9	0.1444	3.7078	1	0
YBL111C		0.5990	20.1992	5	1
YBL112C		0.5733	85.9109	6	0
YBL113C		2.2961	439.2850	8	0
YBR001C	NTH2	2.2595	899.6958	10	5
YBR002C	RER2	9.6467	2195.4106	10	5
YBR003W	COQ1	5.2453	2617.1747	10	5
YBR004C	GPI18	1.3597	515.8043	12	0
YBR005W	RCR1	2.8420	1269.7232	11	1
YBR006W	UGA2	0.7952	251.6638	9	3
YBR007C	DSF2	1.8125	445.3470	11	4
YBR008C	FLR1	3.5929	427.3801	9	0
YBR009C	HHF1	22.7743	12882.5829	10	4
YBR010W	HHT1	11.3819	18861.1782	11	2
YBR011C	IPP1	38.8645	70153.0242	12	11
YBR012W-A		0.2331	9.5113	3	0
YBR012W-B		0.2576	5.2315	3	0
YBR013C		1.0026	475.9180	9	1
YBR014C	GRX7	1.3636	571.9261	10	5
YBR015C	MNN2	10.0812	1463.7532	10	7
YBR016W		3.3721	3042.9427	11	5
YBR017C	KAP104	5.0963	1992.5325	11	7
YBR018C	GAL7	0.3612	9.2140	6	1
YBR019C	GAL10	0.4558	41.0929	9	0
YBR020W	GAL1	0.4317	26.6410	9	0
YBR021W	FUR4	2.5867	851.9377	9	2
YBR022W	POA1	4.1600	799.4341	11	3
YBR023C	CHS3	5.6529	1988.8599	12	5
YBR024W	SCO2	2.4061	710.5959	12	3
YBR025C	OLA1	36.3882	97822.7268	12	9
YBR026C	ETR1	2.2186	480.7666	11	7
YBR028C	YPK3	3.7086	1796.1911	9	3
YBR029C	CDS1	6.1569	3184.5775	12	3
YBR030W	RKM3	5.0400	326.7801	9	4
YBR031W	RPL4A	22.8732	51099.6443	10	7
YBR033W	EDS1	0.5897	113.8032	9	0
YBR034C	HMT1	15.9008	7362.5733	12	7
YBR035C	PDX3	3.3374	3948.3090	12	6
YBR036C	CSG2	9.1558	3431.9427	12	4
YBR037C	SCO1	1.4716	681.6290	11	4
YBR038W	CHS2	3.4363	645.1730	11	3
YBR039W	ATP3	14.6335	7839.4141	11	8
YBR040W	FIG1	0.4067	23.3227	7	0
YBR041W	FAT1	5.4855	2137.6087	12	4
YBR042C	CST26	4.2478	3275.9960	12	4
YBR043C	QDR3	1.7830	2353.7596	12	3
YBR044C	TCM62	2.6263	118.2617	9	2
YBR045C	GIP1	0.1840	9.9561	6	0
YBR046C	ZTA1	3.7349	1099.8257	11	7
YBR047W	FMP23	1.5439	97.3820	9	1
YBR048W	RPS11B	7.4367	15625.0570	11	4
YBR049C	REB1	6.0038	927.8319	11	6
YBR050C	REG2	0.5092	77.4678	9	0
YBR052C	RFS1	10.7859	2493.8073	11	7
YBR053C		5.3117	2889.4138	12	5
YBR054W	YRO2	6.2586	2366.9679	11	6
YBR055C	PRP6	2.8420	613.8626	11	4
YBR056W		5.3585	2816.5291	12	6
YBR057C	MUM2	3.3597	324.9066	10	3
YBR058C	UBP14	3.5770	1702.8466	11	5
YBR058C-A	TSC3	4.6197	609.7063	4	4
YBR059C	AKL1	7.2768	2672.3054	10	7
YBR060C	ORC2	2.5831	526.6694	9	3
YBR061C	TRM7	6.0573	873.9524	11	4
YBR062C		1.0921	308.9856	10	2
YBR063C		2.5705	457.0539	11	0
YBR065C	ECM2	3.8761	266.1053	9	3
YBR066C	NRG2	2.2027	957.1443	10	1
YBR067C	TIP1	10.9091	18296.4159	11	2
YBR068C	BAP2	17.7144	22973.9386	12	5
YBR069C	TAT1	6.3730	1962.6294	11	4
YBR070C	ALG14	2.8009	917.0061	11	3
YBR071W		5.8748	1121.9318	12	3
YBR072C-A		0.0500	2.2544	4	0
YBR072W	HSP26	6.3712	1315.7276	10	8
YBR073W	RDH54	4.1751	1425.5939	12	6
YBR074W	PFF1	1.5524	608.6769	10	3
YBR076W	ECM8	1.1633	32.9810	8	0
YBR077C	SLM4	5.6935	400.3380	11	5
YBR078W	ECM33	6.3531	14848.4124	12	6
YBR079C	RPG1	32.5686	12899.7606	12	8
YBR080C	SEC18	5.9408	2588.4167	10	8
YBR081C	SPT7	7.0380	1125.2850	10	4
YBR082C	UBC4	21.0336	20617.8069	12	7
YBR083W	TEC1	2.3392	1230.8535	11	3
YBR084C-A	RPL19A	36.0288	47334.5438	10	5
YBR084W	MIS1	9.5258	11895.2504	12	8
YBR085C-A		3.6516	582.4886	4	5
YBR085W	AAC3	2.6161	330.0857	11	3
YBR086C	IST2	5.9523	7541.5823	12	6
YBR087W	RFC5	3.8345	1384.0566	12	8
YBR088C	POL30	5.4761	1728.5718	11	6
YBR089C-A	NHP6B	7.4618	273.3965	4	6
YBR090C		4.4732	776.1774	9	1
YBR091C	TIM12	2.0322	888.9749	11	2
YBR092C	PHO3	10.9852	13218.5659	11	7
YBR093C	PHO5	3.4002	3640.8403	12	5
YBR094W	PBY1	4.2276	749.5639	11	4
YBR095C	RXT2	3.8365	819.9253	11	5
YBR096W		7.2062	1428.9516	11	5
YBR097W	VPS15	1.8172	154.4972	11	4
YBR098W	MMS4	1.1244	87.4963	8	1
YBR101C	FES1	23.2374	4847.1152	11	8
YBR102C	EXO84	4.0081	907.2497	10	3
YBR103W	SIF2	2.3280	374.8563	10	5
YBR104W	YMC2	1.9386	610.3354	10	3
YBR105C	VID24	8.3513	3453.8268	12	2
YBR106W	PHO88	22.2141	35181.6897	12	8
YBR107C	IML3	0.6893	397.7274	10	1
YBR108W	AIM3	1.8323	494.5835	10	3
YBR109C	CMD1	15.9194	8672.7923	11	7
YBR110W	ALG1	4.5450	779.1683	9	5
YBR111C	YSA1	7.5702	2091.4437	11	5
YBR111W-A	SUS1	2.0487	58.4484	4	2
YBR112C	CYC8	2.2422	465.9790	11	6
YBR114W	RAD16	1.1917	196.0078	10	3
YBR115C	LYS2	19.2516	1802.2311	11	8
YBR117C	TKL2	1.1552	44.4346	9	4
YBR118W	TEF2	43.9803	50116.9047	12	6
YBR119W	MUD1	3.2207	488.1306	11	3
YBR120C	CBP6	5.2762	2240.5500	10	5
YBR121C	GRS1	37.1003	19852.1736	12	10
YBR122C	MRPL36	3.0334	1056.9484	11	3
YBR123C	TFC1	4.7542	356.2429	10	4
YBR125C	PTC4	1.0514	313.9943	10	3
YBR126C	TPS1	10.2552	14107.6534	12	8
YBR127C	VMA2	38.8230	27516.7846	12	10
YBR128C	ATG14	0.5520	33.0691	8	0
YBR129C	OPY1	3.1615	1221.3404	11	3
YBR130C	SHE3	2.9032	1337.1671	10	6
YBR131W	CCZ1	2.0219	108.0982	10	3
YBR132C	AGP2	3.4228	255.0013	12	3
YBR133C	HSL7	2.0170	214.4555	12	3
YBR135W	CKS1	8.5110	2237.8008	10	4
YBR136W	MEC1	0.9105	37.4773	10	3
YBR137W		3.4545	1558.1664	11	3
YBR138C		0.5987	72.4411	8	1
YBR139W		1.2089	698.6162	12	5
YBR140C	IRA1	3.6981	680.3743	11	5
YBR141C	BMT2	2.1959	151.6360	10	2
YBR142W	MAK5	10.8634	1925.9708	11	7
YBR143C	SUP45	35.4609	47233.9820	12	9
YBR145W	ADH5	3.3219	820.3086	12	8
YBR146W	MRPS9	7.6037	2668.3824	12	3
YBR147W	RTC2	1.2952	119.4383	9	0
YBR148W	YSW1	0.8011	90.3967	8	0
YBR149W	ARA1	8.9812	6740.1975	11	8
YBR150C	TBS1	0.9427	209.3943	10	2
YBR151W	APD1	4.4358	1857.0663	12	7
YBR152W	SPP381	3.4267	233.4516	7	4
YBR153W	RIB7	0.8235	366.7637	11	1
YBR154C	RPB5	5.7560	10790.9794	12	5
YBR155W	CNS1	8.2818	1269.3045	9	5
YBR156C	SLI15	1.4859	441.4029	9	2
YBR157C	ICS2	1.7175	243.0516	10	0
YBR158W	AMN1	4.1371	7182.0205	12	2
YBR159W	IFA38	26.2012	7742.6306	11	5
YBR160W	CDC28	11.1399	6027.8157	12	6
YBR161W	CSH1	0.9515	116.4078	9	2
YBR162C	TOS1	13.1751	55897.5816	12	6
YBR162W-A	YSY6	7.4844	4382.1086	10	3
YBR163W	EXO5	1.7784	342.3377	12	2
YBR164C	ARL1	8.9483	3688.7669	12	5
YBR165W	UBS1	1.4431	305.5959	12	0
YBR166C	TYR1	3.9567	846.2582	12	5
YBR167C	POP7	3.0394	205.6392	11	2
YBR168W	PEX32	1.2393	135.6244	10	0
YBR169C	SSE2	4.8419	1453.4926	11	9
YBR170C	NPL4	5.6097	907.7659	11	5
YBR171W	SEC66	14.4166	3101.1951	12	6
YBR172C	SMY2	4.3900	3930.6175	11	7
YBR173C	UMP1	3.4778	5793.3065	12	2
YBR175W	SWD3	2.3471	497.8342	12	2
YBR176W	ECM31	2.6081	428.7311	9	3
YBR177C	EHT1	4.9051	974.3660	11	8
YBR179C	FZO1	2.8465	341.9029	10	5
YBR180W	DTR1	0.4256	22.3756	9	0
YBR181C	RPS6B	11.3835	54554.0672	10	4
YBR182C	SMP1	0.4808	174.7659	7	0
YBR182C-A		0.2928	2.4412	3	0
YBR183W	YPC1	3.0761	461.2171	12	2
YBR184W		1.5296	103.8478	5	1
YBR185C	MBA1	3.3353	248.4581	12	4
YBR186W	PCH2	1.2727	45.3523	7	0
YBR187W	GDT1	4.0415	6785.7678	12	4
YBR188C	NTC20	4.9729	2304.7819	12	4
YBR189W	RPS9B	32.8835	99579.2840	12	7
YBR191W	RPL21A	33.6973	561570.1740	12	7
YBR192W	RIM2	3.1285	2811.8991	11	2
