SystematicName,40 fL,45 fL,50 fL,55 fL,60 fL,65 fL,70 fL,75 fL,Gene
YAL037C-A,-0.135125585,-0.248165523,-0.18619977,1.082779445,-0.787501007,0.591768799,-1.858219005,-0.171115442,NA
YAL037C-B,-0.864227399,-0.80249122,-0.782716628,0.170907431,0.049379323,0.311149614,0.513248663,0.553348305,NA
YAL037W,-0.345661779,-0.143907988,0.166219347,0.237920812,0.258028386,0.091276635,0.019740642,-0.450774476,NA
YAL038W,0.05239059,-0.552458863,-0.322779851,0.269451214,-0.291397598,-0.545247011,0.31079327,0.61683795,CDC19
YAL039C,0.370892148,0.196362435,0.466478008,-0.194692235,-0.709671172,-0.94816046,-0.030247163,0.258875462,CYC3
YAL040C,-0.419789552,-0.064903619,0.244082721,0.123709618,-0.469492169,-0.505636733,0.186095722,0.544323074,CLN3
YAL041W,-0.508395815,-0.287911216,-0.114109623,-0.170012963,-0.079743185,0.295714306,0.224025012,0.404266456,CDC24
YAL042C-A,-1.046399935,0.125319017,0.419187035,0.477091777,-0.478228894,-1.226406846,-0.056329331,0.668137892,NA
YAL042W,0.196472484,-0.290717154,-0.124011162,0.285860936,-0.390804148,-0.316803566,0.062554035,0.36734533,ERV46
YAL043C,0.153584958,-0.522014461,0.115980005,-0.115897812,-0.405625396,-0.571605703,0.192645078,0.690746738,PTA1
YAL044C,-0.41699094,-1.392107957,-0.895333588,-1.370093241,-0.567913525,0.27385335,1.371254047,0.560656447,GCV3
YAL044W-A,0.174950971,-0.22324533,-0.260843525,0.075461539,-0.056641997,0.152112717,0.178830055,-0.117976447,NA
YAL045C,-0.516575526,0.296166124,0.516231617,-0.041542062,-0.187517967,-0.635716029,-0.069729288,0.259073778,NA
YAL046C,0.021856495,-0.578072392,-0.481756673,0.36154168800000003,-0.089092674,-0.054036855,0.372857002,0.157959117,AIM1
YAL047C,-0.84179963,-0.378843188,-0.11437255,0.128180663,0.246920949,0.249897881,0.080065809,0.290942519,SPC72
YAL047W-A,-1.203872333,-0.954643727,-0.388296905,-1.047753131,0.561662413,0.872393561,0.119703614,0.494663674,NA
YAL048C,0.194550744,-0.773225286,-0.241374122,-0.288212372,-0.196008817,-0.067891301,0.535899461,0.410155996,GEM1
YAL049C,-0.118546063,-0.051601432,-0.00326223,-0.356100862,0.027476332,0.1424461,0.109869277,0.179985006,AIM2
YAL051W,0.218006682,-0.470474447,-0.067820672,-0.047239795,-0.29038584,-0.066784625,0.160776899,0.381778649,OAF1
YAL053W,-0.253856682,-0.247958493,0.055606165,-0.064688068,-0.071963923,-0.170606702,0.30586621,0.319435226,FLC2
YAL054C,-0.124337352,-0.385765193,-0.457359277,0.107211435,0.188722514,0.029874307,0.383589765,0.065542256,ACS1
YAL055W,0.059991663,-0.445311119,0.136989297,0.157172342,-0.68606621,-0.237438349,-0.024948734,0.637614856,PEX22
YAL056C-A,-0.496302011,-0.715031218,-0.628070621,0.025345004,0.015088835,0.892517968,0.526141039,-0.493858835,NA
YAL056W,0.288300364,0.043808018,-0.101563656,-0.139172967,-0.101728658,-0.099255607,0.042166132,0.01837415,GPB2
YAL058W,0.05690528,0.05186969,0.136124297,0.20760081,-0.63064812,-0.452649818,0.175549777,0.218427841,CNE1
YAL059C-A,0.078039211,0.625527006,1.405242248,-0.437289102,NA,-0.906193473,0.566482652,NA,NA
YAL059W,0.474103698,0.967038939,0.132913961,-0.237521959,-0.245446371,-0.664814429,-0.752916681,-0.63557032,ECM1
YAL060W,-0.016437581,-0.632102293,0.146233735,0.074614399,-0.099689761,-0.189554945,0.594911686,-0.174869941,BDH1
YAL061W,0.209886512,-0.222606155,0.671374898,0.246984124,-0.30025871,-0.018645917,-0.335421464,-0.700743454,BDH2
YAL062W,1.183641318,0.310363703,-0.022347506,0.023765511,-1.003985685,-1.20204006,-0.305853557,-0.424681673,GDH3
YAL063C,0.281783921,-0.618680406,-0.074571289,-0.589386099,-0.58215453,0.006010403,0.766455608,0.196054047,FLO9
YAL063C-A,-0.436421185,-0.479159105,-0.635094712,-0.150179388,0.573681219,0.555759311,0.552619603,-0.801890706,NA
YAL064C-A,0.767288675,-1.369739575,-0.784777074,-0.946882571,-0.577397224,-0.380231949,1.154731166,0.197693001,TDA8
YAL064W,0.154053833,-0.314422925,-0.161739476,-0.30989326699999997,-1.016281083,0.562518678,0.936843609,-1.008920378,NA
YAL064W-B,0.951024932,-1.308015457,-0.762328105,0.198501298,-1.864207719,0.02752307,1.02141426,-0.732198439,NA
YAL065C,0.447330902,-1.552669098,-1.598472787,-0.465206256,-1.109725602,0.760213858,0.902658123,0.280220917,NA
YAL066W,NA,-2.942918905,-1.870162562,-0.285200062,-0.918256851,0.297132183,1.587117385,1.009671735,NA
YAL067C,0.521952703,-1.060615282,-0.239991759,-1.046331056,-0.667272854,0.14320141,0.973081647,0.079495915,SEO1
YAL067W-A,-0.57213846,NA,0.229734397,-0.426533138,-1.304854582,0.349149564,1.596367264,-0.497499659,NA
YAL068C,-0.411884792,-0.685566442,-1.309523074,-0.150619479,-0.929492025,0.333542381,1.322426349,0.051399153,PAU8
YAL068W-A,0.755926683,-0.562681053,-1.361768359,NA,NA,0.429003678,1.963042244,NA,NA
YAL069W,0.986999682,-2.183368068,-0.815935215,-0.931669896,-1.199398178,0.054033388,0.97455108,0.341233169,NA
YAR002C-A,-0.116612926,-0.307618396,-0.066711775,0.286767431,0.044562418,0.053512687,0.028062416,0.008857768,ERP1
YAR002W,0.244401596,-0.167924983,-0.143401515,-0.075876323,-0.31589104,0.030559374,-0.108655236,0.399350657,NUP60
YAR003W,0.169030411,0.026681452,0.118373274,0.358074799,0.064722185,-0.393460319,-0.391880257,-0.119532397,SWD1
YAR007C,0.250367884,0.009967379,0.045073553,0.394578722,0.319702356,-0.53172318,-0.230053925,-0.588881602,RFA1
YAR008W,-1.504499104,-0.487098211,0.221472071,0.737003827,0.754771039,-0.523703691,-0.20634693,-0.231449653,SEN34
YAR009C,0.161682708,-0.356899134,-0.081952407,0.335847193,-0.118607182,-0.105263056,0.052348684,0.008641399,NA
YAR010C,NA,NA,NA,NA,NA,NA,NA,NA,NA
YAR014C,0.356958202,0.079276189,-0.015034521,-0.143321864,-0.257719839,-0.195501407,-0.065698225,0.140861778,BUD14
